"","conc","dead.cells","nM","log.nM"
"1",5e-07,34.6,500,2.69897000433602
"2",1e-06,47.7,1000,3
"3",1e-05,81.7,10000,4
"4",5e-07,37.6,500,2.69897000433602
"5",1e-06,55.7,1000,3
"6",5e-06,89.1,5000,3.69897000433602
"7",1e-05,84.3,10000,4
"8",2e-05,85.2,20000,4.30102999566398
"9",5e-07,34.4,500,2.69897000433602
"10",1e-06,46.1,1000,3
"11",2.5e-06,76.2,2500,3.39794000867204
"12",5e-06,84.3,5000,3.69897000433602
"13",1e-05,84.1,10000,4
"14",5e-07,24.5,500,2.69897000433602
"15",1e-06,26.1,1000,3
"16",2.5e-06,60.6,2500,3.39794000867204
"17",5e-06,82.7,5000,3.69897000433602
"18",1e-05,87,10000,4
