Lecture,Gender,Height,Shoe Size,Phones
Monday,Female,163,38,5
Monday,Female,164,37,6
Monday,Female,163,40,4
Monday,Female,169,40,9
Monday,Female,176,42,4
Monday,Female,177,39,7
Monday,Female,176,40,3
Monday,Female,153,37,5
Monday,Female,159,36,4
Monday,Female,172,39,6
Monday,Female,162,37,7
Monday,Female,168,38.7,7
Monday,Female,175,41,4
Monday,Female,165,38,7
Monday,Female,170,38,7
Monday,Male,185,46,6
Monday,Male,175,43,7
Monday,Male,182,44,6
Monday,Male,180,42,5
Monday,Male,173,43.5,6
Monday,Male,187,43,19
Monday,Male,177,44,4
Monday,Male,180,9,5
Monday,Male,187,44,6
Monday,Male,174,44,3
Tuesday,Female,166,39,5
Tuesday,Female,166,39.5,7
Tuesday,Female,167,38,3
Tuesday,Female,163,37,5
Tuesday,Female,165,35.5,6
Tuesday,Female,162,39,5
Tuesday,Female,158,38,3
Tuesday,Female,168,40,4
Tuesday,Female,165,41,6
Tuesday,Female,163,37,5
Tuesday,Male,188,44.5,5
Tuesday,Male,188,47,3
Tuesday,Male,171,40,7
Tuesday,Male,188,45,6
Tuesday,Male,175,45,5
Wednesday,Female,168,37,5
Wednesday,Female,164,38.5,6
Wednesday,Female,160,38,10
Wednesday,Female,168,39,5
Wednesday,Female,165,36.5,7
Wednesday,Female,168,38,5
Wednesday,Female,168,38,5
Wednesday,Female,160,36,3
Wednesday,Female,169,41,8
Wednesday,Female,157.5,40,4
Wednesday,Female,173,39,6
Wednesday,Female,161,39,6
Wednesday,Female,170,39,6
Wednesday,Female,164,39,4
Wednesday,Male,186,42,6
Wednesday,Male,188,46,5
