ID,treatment,sex,offspring length,mother length,OSR
1,FBSR,daugther,0.87629,2.9425,0.166666667
1,FBSR,daugther,0.88272,2.9425,0.166666667
1,FBSR,daugther,0.89302,2.9425,0.166666667
1,FBSR,daugther,0.89336,2.9425,0.166666667
1,FBSR,daugther,0.8961,2.9425,0.166666667
1,FBSR,son,0.93048,2.9425,0.166666667
3,FBSR,daugther,0.89394,3.178,0.714285714
3,FBSR,daugther,0.89406,3.178,0.714285714
3,FBSR,son,0.92137,3.178,0.714285714
3,FBSR,son,0.92849,3.178,0.714285714
3,FBSR,son,0.93257,3.178,0.714285714
3,FBSR,son,0.93993,3.178,0.714285714
3,FBSR,son,0.94629,3.178,0.714285714
4,FBSR,daugther,0.89322,2.785,0.625
4,FBSR,daugther,0.8926,2.785,0.625
4,FBSR,daugther,0.89417,2.785,0.625
4,FBSR,daugther,0.89281,2.785,0.625
4,FBSR,daugther,0.8945,2.785,0.625
4,FBSR,daugther,0.89374,2.785,0.625
4,FBSR,son,0.93087,2.785,0.625
4,FBSR,son,0.93013,2.785,0.625
4,FBSR,son,0.92826,2.785,0.625
4,FBSR,son,0.92888,2.785,0.625
4,FBSR,son,0.93024,2.785,0.625
4,FBSR,son,0.93137,2.785,0.625
4,FBSR,son,0.94568,2.785,0.625
4,FBSR,son,0.94411,2.785,0.625
4,FBSR,son,0.94307,2.785,0.625
4,FBSR,son,0.94923,2.785,0.625
5,FBSR,daugther,0.89419,2.455,0.166666667
5,FBSR,daugther,0.8941,2.455,0.166666667
5,FBSR,daugther,0.89519,2.455,0.166666667
5,FBSR,daugther,0.89269,2.455,0.166666667
5,FBSR,daugther,0.8945,2.455,0.166666667
5,FBSR,son,0.93444,2.455,0.166666667
6,FBSR,daugther,0.89407,2.749,0.571428571
6,FBSR,daugther,0.89446,2.749,0.571428571
6,FBSR,daugther,0.9861,2.749,0.571428571
6,FBSR,son,0.92821,2.749,0.571428571
6,FBSR,son,0.93856,2.749,0.571428571
6,FBSR,son,0.94407,2.749,0.571428571
6,FBSR,son,0.95275,2.749,0.571428571
7,MBSR,daugther,0.88852,3.061,0.875
7,MBSR,son,0.806,3.061,0.875
7,MBSR,son,0.86469,3.061,0.875
7,MBSR,son,0.86969,3.061,0.875
7,MBSR,son,0.87969,3.061,0.875
7,MBSR,son,0.886,3.061,0.875
7,MBSR,son,0.89638,3.061,0.875
7,MBSR,son,0.89486,3.061,0.875
8,FBSR,daugther,0.8391,2.224,0.5
8,FBSR,daugther,0.89388,2.224,0.5
8,FBSR,daugther,0.9061,2.224,0.5
8,FBSR,son,0.91876,2.224,0.5
8,FBSR,son,0.92888,2.224,0.5
8,FBSR,son,0.9443,2.224,0.5
9,MBSR,daugther,0.8331,2.401,0.5
9,MBSR,daugther,0.9331,2.401,0.5
9,MBSR,son,0.88951,2.401,0.5
9,MBSR,son,0.8964,2.401,0.5
10,MBSR,daugther,0.89079,2.587,0.5
10,MBSR,daugther,0.88954,2.587,0.5
10,MBSR,daugther,0.9171,2.587,0.5
10,MBSR,son,0.88968,2.587,0.5
10,MBSR,son,0.89679,2.587,0.5
10,MBSR,son,0.89573,2.587,0.5
11,MBSR,daugther,0.87081,2.356,0.571428571
11,MBSR,daugther,0.88107,2.356,0.571428571
11,MBSR,daugther,0.88125,2.356,0.571428571
11,MBSR,son,0.89408,2.356,0.571428571
11,MBSR,son,0.89615,2.356,0.571428571
11,MBSR,son,0.89665,2.356,0.571428571
11,MBSR,son,0.89749,2.356,0.571428571
12,FBSR,daugther,0.8831,2.451,0.4
12,FBSR,daugther,0.8981,2.451,0.4
12,FBSR,daugther,0.9041,2.451,0.4
12,FBSR,son,0.906,2.451,0.4
12,FBSR,son,0.9172,2.451,0.4
