sex,exposure,girth,length
1,other,48,72
1,PDV,40,75
1,PDV,52,78
1,other,50,83
1,PDV,54,84
1,other,71,85
1,PDV,40,85
1,other,60,87
1,other,66,88
1,PDV,59,88
1,PDV,59,88
1,other,68,89
1,PDV,52,89.5
1,other,73,90
1,other,62,90
1,other,78,90
1,PDV,61,90
1,PDV,56,91
1,other,71,92
1,other,63,92
1,PDV,53,92
1,other,73,93
1,other,73,93
1,other,73,93
1,other,71,93
1,PDV,68,93
1,other,52,93.5
1,PDV,66,94
1,other,71,95
1,other,73,95
1,other,71,95
1,other,72,95
1,other,72,95
1,other,56,95
1,other,67,95
1,other,70,95
1,PDV,58,95
1,other,75,96
1,other,65,96
1,other,73,96
1,other,59,96
1,other,78,96
1,PDV,61,96
1,other,71,97
1,other,75,97
1,other,68,97
1,other,71,97
1,other,68,97
1,other,67,97
1,other,70,97
1,PDV,72,97
1,other,60.5,97.5
1,other,77,99
1,other,73,99
1,other,70,99
1,PDV,71,99
1,other,71,100
1,other,78,100
1,other,70,100
1,other,82,101
1,other,77,101
1,other,82,101
1,other,71,102
1,other,80,102
1,other,74,102
1,other,90,102
1,PDV,66,102
1,other,79,103
1,PDV,100,103
1,PDV,61,103
1,PDV,66,103
1,other,85,104
1,other,74,104
1,other,86,104
1,PDV,64,104
1,other,69.85,104.14
1,other,68.58,104.14
1,other,89,105
1,other,84,105
1,other,71,105
1,other,84,106
1,other,76,106
1,other,90,106
1,other,88,107
1,other,81,108
1,PDV,70,108
1,other,82,109
1,other,97,109
1,PDV,73,109
1,PDV,84,109
1,other,82,110
1,other,83,110
1,other,82,110
1,other,95,110
1,other,89,111
1,other,80,111
1,other,85,111
1,other,78,112
1,other,85,112
1,PDV,58,112
1,PDV,77,112
1,other,82,113
1,other,77,113
1,other,88,113
1,other,66.04,114.3
1,other,93,115
1,PDV,50,115
1,other,91,116
1,other,95,117
1,PDV,75,117
1,PDV,70,117
1,PDV,74,117
1,other,83,118
1,other,91,118
1,other,82,118
1,other,69,118
1,PDV,76,118
1,PDV,79,118
1,PDV,76,119
1,PDV,70,119
1,other,91,120
1,PDV,83,120
1,PDV,83,121
1,other,78,122
1,PDV,82,122
1,PDV,74,123
1,other,72.39,123.19
1,PDV,81,124.5
1,other,105,125
1,other,92,125
1,other,101,127
